symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
TATACHEM.NS	722.30	695.00	720.00	717.10	802.15	25165940	11.41	126.87
CROMPTON.NS	258.68	252.10	258.67	256.50	269.63	11443201	4.24	38.55
RBLBANK.NS	312.80	306.10	310.00	310.00	320.75	13444619	3.47	23.08
RELIANCE.NS	1365.80	1311.00	1358.00	1357.00	1388.90	41027699	2.28	23.53
PFC.NS	474.90	470.95	471.65	470.20	481.40	10746434	2.07	6.09
KOTAKBANK.NS	376.80	373.25	372.00	372.00	377.95	12852733	1.60	20.15
UPL.NS	639.50	632.50	636.80	634.95	645.50	2114630	1.37	30.75
SUNPHARMA.NS	1733.50	1621.90	1724.00	1714.30	1747.30	16599167	1.35	38.71
HINDALCO.NS	1061.80	1052.00	1060.00	1055.15	1074.30	7798496	1.35	14.67
SYNGENE.NS	437.95	421.25	435.00	434.10	440.25	816861	1.21	49.63
INDHOTEL.NS	647.85	635.35	645.10	643.25	652.45	1967671	1.14	46.23
LODHA.NS	879.45	836.35	873.00	872.05	882.90	3714661	1.13	25.87
TECHM.NS	1396.10	1360.20	1392.50	1383.60	1408.10	2009200	1.12	26.65
IGL.NS	164.88	163.60	164.80	163.90	166.45	5859740	1.00	14.06
TATASTEEL.NS	213.27	210.93	213.20	212.20	215.05	34950491	0.87	29.01
NATIONALUM.NS	441.00	439.40	438.00	436.05	441.50	8617924	0.80	12.96
POLICYBZR.NS	1663.00	1659.20	1657.00	1643.10	1667.40	1198968	0.63	135.36
MFSL.NS	1603.00	1579.50	1601.80	1592.90	1610.80	387035	0.56	386.04
ADANIPORTS.NS	1628.50	1593.00	1628.40	1624.50	1637.60	2500914	0.56	28.56
AUROPHARMA.NS	1416.70	1386.60	1415.00	1410.30	1422.60	847634	0.54	23.54
BDL.NS	1391.30	1385.90	1389.90	1384.20	1396.70	723230	0.49	89.86
NAUKRI.NS	1000.90	990.95	1000.60	991.45	1004.60	1477347	0.40	48.84
BAJAJFINSV.NS	1772.20	1765.00	1772.10	1757.70	1779.00	1414112	0.39	29.67
GODREJCP.NS	1089.25	1083.95	1088.20	1081.50	1092.00	807880	0.35	61.79
NCC.NS	164.48	162.22	164.29	162.31	164.85	5775290	0.34	14.54
PAYTM.NS	1132.05	1051.10	1125.65	1120.50	1129.15	2357870	0.31	
BIOCON.NS	362.00	350.50	361.95	359.15	362.80	4198319	0.23	74.40
HUDCO.NS	214.92	211.42	214.60	212.80	215.05	8860387	0.21	15.44
LUPIN.NS	2324.50	2296.20	2299.10	2260.30	2302.70	1261666	0.16	22.90
HINDPETRO.NS	380.90	372.75	379.50	375.00	380.05	4591112	0.14	5.28
LICI.NS	819.50	812.40	817.95	815.00	817.70	1629817	-0.03	9.78
JUBLFOOD.NS	485.10	483.50	482.75	475.50	482.40	3030435	-0.07	98.72
HAVELLS.NS	1274.10	1243.10	1273.10	1263.00	1272.20	1435828	-0.07	47.69
PRESTIGE.NS	1405.10	1380.30	1405.00	1394.10	1402.60	453603	-0.17	62.93
360ONE.NS	1042.05	1025.00	1041.00	1030.05	1038.95	645825	-0.20	35.54
TATACONSUM.NS	1160.50	1155.00	1150.20	1144.00	1147.70	1646292	-0.22	77.72
HDFCBANK.NS	789.80	785.00	785.00	778.30	782.55	35366803	-0.31	17.51
BPCL.NS	312.65	306.70	308.70	305.15	307.75	14434171	-0.31	5.34
RECLTD.NS	378.05	376.00	377.00	371.50	375.80	10991705	-0.32	5.49
COLPAL.NS	2141.00	2135.40	2132.70	2105.00	2125.20	364158	-0.35	43.70
SBILIFE.NS	1815.40	1759.00	1814.60	1798.80	1808.30	1487099	-0.35	73.43
IEX.NS	126.45	122.38	126.41	125.00	125.94	11429852	-0.37	22.71
ASIANPAINT.NS	2485.20	2475.50	2475.00	2456.10	2462.60	556571	-0.50	61.16
INDUSINDBK.NS	900.15	865.20	890.15	882.45	885.55	5748485	-0.52	79.58
IOC.NS	146.26	143.69	146.15	144.31	145.39	11294936	-0.52	5.64
MARICO.NS	787.00	781.30	785.00	775.75	780.85	669237	-0.53	59.59
BANDHANBNK.NS	181.87	174.07	179.66	177.70	178.65	8518404	-0.56	31.44
MGL.NS	1141.80	1124.50	1139.65	1130.00	1133.00	190131	-0.58	11.85
INDIANB.NS	912.65	909.00	902.00	894.40	896.10	1854563	-0.65	10.54
HDFCLIFE.NS	597.30	590.10	594.20	588.50	590.15	5604921	-0.68	67.25
CIPLA.NS	1317.20	1299.00	1316.00	1296.30	1306.50	1501522	-0.72	23.44
FEDERALBNK.NS	294.05	292.80	292.85	290.00	290.60	6666139	-0.77	17.86
BANKBARODA.NS	273.99	272.70	270.00	265.61	267.83	12427177	-0.80	7.14
SBICARD.NS	670.70	664.00	653.10	646.10	647.45	5814209	-0.87	29.65
INOXWIND.NS	104.09	100.91	104.00	102.17	103.07	9031940	-0.89	37.59
INFY.NS	1170.30	1154.50	1162.70	1149.80	1152.10	12720276	-0.91	15.57
SBIN.NS	1111.85	1103.40	1102.30	1089.15	1091.30	10727835	-1.00	11.90
ASHOKLEY.NS	169.30	167.75	169.26	167.01	167.52	17796360	-1.03	29.84
HINDUNILVR.NS	2328.30	2325.00	2321.00	2281.10	2289.50	1629120	-1.36	53.39
WIPRO.NS	205.05	199.36	204.56	201.02	201.58	23455983	-1.46	16.17
ZYDUSLIFE.NS	939.65	922.30	925.00	905.00	911.30	1542977	-1.48	18.73
CHOLAFIN.NS	1560.70	1534.80	1560.10	1530.80	1536.40	964837	-1.52	26.87
AXISBANK.NS	1324.20	1299.90	1312.00	1285.50	1289.00	9939787	-1.75	15.22
SHRIRAMFIN.NS	974.65	963.75	974.50	949.30	953.25	6752420	-2.18	18.11
HCLTECH.NS	1228.20	1201.00	1227.90	1192.30	1196.00	6643295	-2.60	19.65
