symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
KPITTECH.NS	740.05	737.00	738.05	727.65	759.05	2877480	2.85	28.97
BHEL.NS	344.50	342.51	344.40	342.04	352.41	17432476	2.33	151.24
CESC.NS	186.78	183.10	183.87	182.55	187.53	2371203	1.99	16.88
AARTIIND.NS	502.35	499.55	500.00	495.90	507.50	1493230	1.50	48.75
SONACOMS.NS	599.70	596.35	598.80	586.15	607.25	2865734	1.41	61.52
LAURUSLABS.NS	1106.10	1085.00	1086.30	1080.00	1100.95	2364117	1.35	70.79
FEDERALBNK.NS	284.75	282.55	284.70	280.00	286.95	13939720	0.79	16.45
DELHIVERY.NS	466.30	463.35	463.45	454.15	467.05	2562642	0.78	232.34
ADANIPORTS.NS	1661.10	1644.90	1650.00	1596.80	1657.30	6313698	0.44	28.80
BSOFT.NS	369.40	367.70	368.50	364.30	369.45	365634	0.26	22.19
PNBHOUSING.NS	1053.05	1034.35	1043.05	1027.50	1045.65	1424315	0.25	11.88
SBILIFE.NS	1816.20	1792.90	1814.90	1785.20	1819.00	1082053	0.23	74.10
CROMPTON.NS	276.01	269.63	272.40	266.00	272.36	6912508	-0.01	37.82
MGL.NS	1146.00	1132.00	1135.95	1116.95	1135.65	166402	-0.03	11.75
HCLTECH.NS	1200.20	1192.10	1200.00	1184.00	1199.10	5070033	-0.08	19.57
NCC.NS	164.90	163.51	164.00	161.50	163.84	2111875	-0.10	14.24
AUROPHARMA.NS	1396.80	1389.30	1392.00	1378.60	1389.50	606347	-0.18	23.08
NTPC.NS	401.30	399.65	400.00	393.15	399.15	7706357	-0.21	22.12
DRREDDY.NS	1329.80	1321.50	1327.00	1313.60	1322.90	1227007	-0.31	19.53
360ONE.NS	1046.80	1034.15	1038.20	1009.00	1034.65	1026753	-0.34	35.64
CONCOR.NS	514.60	508.50	510.60	506.00	508.85	1678788	-0.34	30.27
PAYTM.NS	1104.20	1099.00	1100.00	1082.50	1095.80	2105310	-0.38	
POWERGRID.NS	320.35	318.25	319.60	315.95	318.35	9521058	-0.39	20.49
EXIDEIND.NS	363.45	356.90	362.00	356.00	360.55	2235828	-0.40	36.95
MARICO.NS	779.30	775.90	778.10	765.65	775.00	1716176	-0.40	58.58
IEX.NS	126.05	125.65	125.70	123.80	125.19	5162770	-0.41	22.58
COFORGE.NS	1204.00	1200.00	1202.00	1178.10	1195.90	1424354	-0.51	35.74
DLF.NS	594.45	589.35	590.00	579.80	587.00	3576402	-0.51	32.80
PRESTIGE.NS	1433.70	1406.10	1423.10	1397.40	1414.40	301820	-0.61	62.66
JSWSTEEL.NS	1279.70	1257.00	1272.50	1250.40	1264.50	1366233	-0.63	41.45
INDUSTOWER.NS	413.90	411.55	413.00	407.00	409.95	4414903	-0.74	15.14
POLICYBZR.NS	1684.30	1667.10	1680.10	1641.50	1666.20	729684	-0.83	133.13
