symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
FORTIS.NS	935.20	929.25	930.65	910.55	922.95	1057073	-0.83	72.37
NYKAA.NS	267.85	266.69	266.97	263.07	264.76	2079022	-0.83	533.60
PHOENIXLTD.NS	1790.30	1763.80	1780.00	1726.90	1765.00	563716	-0.84	50.59
GAIL.NS	165.66	164.57	164.68	161.31	163.23	7518096	-0.88	12.56
COLPAL.NS	2132.50	2104.60	2115.20	2090.00	2096.20	366494	-0.90	43.00
HAVELLS.NS	1252.50	1249.20	1252.00	1233.00	1240.60	1559906	-0.91	46.17
SBICARD.NS	651.20	643.05	650.00	632.15	643.90	1977335	-0.94	28.30
ASTRAL.NS	1552.80	1544.20	1546.00	1520.60	1529.70	333474	-1.05	82.23
JUBLFOOD.NS	485.40	477.25	483.75	469.60	478.60	1109585	-1.06	99.17
BHARATFORG.NS	1907.80	1897.20	1904.10	1846.70	1881.60	2076179	-1.18	79.71
BEL.NS	437.55	435.25	436.45	424.50	431.30	15795581	-1.18	52.98
TATAPOWER.NS	451.50	449.40	450.00	439.30	444.55	6116311	-1.21	37.53
PATANJALI.NS	466.30	462.10	465.20	455.50	459.45	1811550	-1.24	30.27
HDFCLIFE.NS	594.40	589.60	594.35	578.40	586.90	6234625	-1.25	66.48
IREDA.NS	137.21	136.80	136.82	133.40	135.10	5951746	-1.26	19.85
INDIANB.NS	875.55	862.20	863.00	812.70	851.85	9226296	-1.29	9.78
UNOMINDA.NS	1131.80	1126.30	1127.10	1099.10	1112.50	567965	-1.30	56.58
CGPOWER.NS	825.60	820.30	824.75	803.90	813.35	3248937	-1.38	113.67
BDL.NS	1394.10	1382.40	1384.30	1352.20	1364.10	1349217	-1.46	86.73
AXISBANK.NS	1296.40	1279.00	1288.00	1257.30	1268.30	16481853	-1.53	15.10
IRCTC.NS	550.10	543.70	548.00	536.15	539.55	1074426	-1.54	30.40
LTF.NS	285.42	284.38	284.42	277.38	279.73	3778162	-1.65	23.62
GODREJCP.NS	1090.05	1084.00	1085.10	1043.05	1067.10	1714183	-1.66	60.04
OBEROIRLTY.NS	1700.30	1693.80	1700.10	1658.10	1669.60	482607	-1.79	27.09
RECLTD.NS	363.55	358.10	361.10	352.75	354.30	9031675	-1.88	5.74
ICICIPRULI.NS	524.35	522.00	524.00	512.60	513.85	1123792	-1.94	46.26
HINDALCO.NS	1067.20	1053.00	1058.50	1030.40	1038.00	4392857	-1.94	14.35
TATASTEEL.NS	215.88	211.36	215.78	210.00	211.36	24894783	-2.05	28.72
HINDUNILVR.NS	2314.40	2291.00	2312.00	2211.60	2250.90	4434979	-2.64	52.43
VOLTAS.NS	1474.80	1465.00	1470.00	1418.20	1430.40	1259835	-2.69	94.85
M&MFIN.NS	320.20	311.70	320.00	309.05	310.70	5588528	-2.91	14.94
HINDCOPPER.NS	555.25	548.25	553.35	532.05	534.85	4384552	-3.34	78.68
PFC.NS	464.75	461.90	464.00	447.00	448.40	9436314	-3.36	5.88
NATIONALUM.NS	433.30	430.00	431.00	394.25	399.30	17624227	-7.35	11.83
