symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
SYNGENE.NS	432.15	429.90	431.95	429.90	467.65	59274654	8.26	53.49
MAXHEALTH.NS	1006.60	1003.00	935.00	934.95	993.05	2365736	6.21	68.41
TORNTPOWER.NS	1701.70	1697.00	1678.50	1666.10	1736.00	779793	3.43	27.77
KPITTECH.NS	740.05	737.00	738.05	727.65	759.05	2877480	2.85	28.97
HUDCO.NS	216.70	212.80	215.00	213.50	220.87	4802433	2.73	16.13
CHOLAFIN.NS	1553.30	1530.80	1521.80	1472.30	1562.90	7213356	2.70	27.31
BHEL.NS	344.50	342.51	344.40	342.04	352.41	17432476	2.33	151.24
TATATECH.NS	572.20	570.00	568.70	565.50	581.35	1299478	2.22	44.42
SUNPHARMA.NS	1778.70	1750.00	1771.00	1761.40	1808.30	4749798	2.11	39.72
CESC.NS	186.78	183.10	183.87	182.55	187.53	2371203	1.99	16.88
KOTAKBANK.NS	382.00	377.55	376.60	375.30	383.30	24812228	1.78	20.30
RELIANCE.NS	1425.40	1391.30	1409.00	1393.10	1430.80	30957881	1.55	24.07
AARTIIND.NS	502.35	499.55	500.00	495.90	507.50	1493230	1.50	48.75
BHARTIARTL.NS	1888.10	1845.40	1860.00	1860.00	1886.80	12709188	1.44	37.39
SONACOMS.NS	599.70	596.35	598.80	586.15	607.25	2865734	1.41	61.52
LAURUSLABS.NS	1106.10	1085.00	1086.30	1080.00	1100.95	2364117	1.35	70.79
INDUSINDBK.NS	913.75	891.00	906.00	895.25	916.05	3438569	1.11	80.35
BSE.NS	3635.70	3620.30	3602.70	3568.00	3640.50	2381291	1.05	68.86
TECHM.NS	1459.80	1405.20	1459.70	1445.60	1473.50	2635309	0.95	27.18
JSWENERGY.NS	560.40	557.00	556.00	549.30	561.15	1886082	0.93	43.05
BANDHANBNK.NS	198.30	186.01	198.00	194.47	199.72	27193264	0.87	26.48
FEDERALBNK.NS	284.75	282.55	284.70	280.00	286.95	13939720	0.79	16.45
DELHIVERY.NS	466.30	463.35	463.45	454.15	467.05	2562642	0.78	232.34
ASIANPAINT.NS	2447.30	2438.60	2426.70	2385.50	2444.50	823684	0.73	61.11
AUBANK.NS	1017.65	1013.50	1010.65	998.00	1015.95	1815610	0.52	28.91
ADANIENSOL.NS	1418.15	1412.00	1336.00	1308.00	1342.25	6547437	0.47	72.62
ADANIPORTS.NS	1661.10	1644.90	1650.00	1596.80	1657.30	6313698	0.44	28.80
LUPIN.NS	2311.40	2302.70	2297.00	2277.70	2305.20	1095515	0.36	22.80
GLENMARK.NS	2413.90	2403.70	2400.10	2385.60	2406.30	792796	0.26	63.53
BSOFT.NS	369.40	367.70	368.50	364.30	369.45	365634	0.26	22.19
PNBHOUSING.NS	1053.05	1034.35	1043.05	1027.50	1045.65	1424315	0.25	11.88
SBILIFE.NS	1816.20	1792.90	1814.90	1785.20	1819.00	1082053	0.23	74.10
HDFCBANK.NS	779.00	777.35	770.00	762.25	771.70	47998755	0.22	17.28
ICICIBANK.NS	1281.00	1276.20	1261.00	1259.00	1263.40	17740110	0.19	16.92
ICICIGI.NS	1770.60	1765.10	1760.00	1736.30	1763.20	774438	0.18	31.91
BPCL.NS	303.90	303.15	300.05	295.55	300.45	13025294	0.13	5.24
