symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
ACC.NS	1422.10	1406.00	1412.10	1391.00		509550		12.32
BIOCON.NS	359.65	354.25	359.20	359.20		2608345		73.74
BHARTIARTL.NS	1886.80	1860.00	1873.20	1821.70		10706935		36.13
CDSL.NS	1272.00	1268.50	1256.20	1226.10		4738383		54.38
ETERNAL.NS	247.03	242.65	247.00	245.00		40874100		629.75
DRREDDY.NS	1322.90	1313.60	1320.00	1280.60		2285134		18.97
ICICIGI.NS	1763.20	1736.30	1762.00	1742.90		605738		31.83
KOTAKBANK.NS	383.30	375.30	378.90	363.00		74442300		19.66
OIL.NS	490.80	485.40	487.00	472.60		6718828		13.26
ONGC.NS	299.55	296.90	298.40	292.35		15465656		9.68
NATIONALUM.NS	399.30	394.25	399.00	388.60		14679903		12.20
OBEROIRLTY.NS	1669.60	1658.10	1669.00	1665.40		227992		27.49
POWERGRID.NS	318.35	315.95	314.00	314.00		7369364		20.49
SBIN.NS	1068.45	1063.00	1063.60	1063.60		11692204		11.63
SBILIFE.NS	1819.00	1785.20	1810.10	1810.10		1929697		74.11
SYNGENE.NS	467.65	429.90	467.35	453.60		4350014		54.55
